node,threshold,gt,found,fp,fn,precision,recall,jaccard,hilbert_order
clab-nebula-serf135,35,42,0,0,42,0,0.0,0.0,2
clab-nebula-serf140,35,39,0,0,39,0,0.0,0.0,2
clab-nebula-serf145,35,37,0,0,37,0,0.0,0.0,2
clab-nebula-serf150,35,42,0,0,42,0,0.0,0.0,2
clab-nebula-serf155,35,43,0,0,43,0,0.0,0.0,2
clab-nebula-serf160,35,43,4,0,39,1.0,0.09302325581395349,0.09302325581395349,2
clab-nebula-serf1,40,107,18,0,89,1.0,0.16822429906542055,0.16822429906542055,2
clab-nebula-serf5,40,92,10,0,82,1.0,0.10869565217391304,0.10869565217391304,2
clab-nebula-serf10,40,120,13,0,107,1.0,0.10833333333333334,0.10833333333333334,2
clab-nebula-serf15,40,121,21,0,100,1.0,0.17355371900826447,0.17355371900826447,2
clab-nebula-serf20,40,102,10,0,92,1.0,0.09803921568627451,0.09803921568627451,2
clab-nebula-serf25,40,102,5,0,97,1.0,0.049019607843137254,0.049019607843137254,2
clab-nebula-serf30,40,119,27,0,92,1.0,0.226890756302521,0.226890756302521,2
clab-nebula-serf35,40,111,0,0,111,0,0.0,0.0,2
clab-nebula-serf40,40,118,0,0,118,0,0.0,0.0,2
clab-nebula-serf45,40,121,9,0,112,1.0,0.0743801652892562,0.0743801652892562,2
clab-nebula-serf50,40,122,10,0,112,1.0,0.08196721311475409,0.08196721311475409,2
clab-nebula-serf55,40,121,11,0,110,1.0,0.09090909090909091,0.09090909090909091,2
clab-nebula-serf60,40,124,14,0,110,1.0,0.11290322580645161,0.11290322580645161,2
clab-nebula-serf65,40,122,0,0,122,0,0.0,0.0,2
clab-nebula-serf70,40,124,23,0,101,1.0,0.18548387096774194,0.18548387096774194,2
clab-nebula-serf75,40,122,6,0,116,1.0,0.04918032786885246,0.04918032786885246,2
clab-nebula-serf80,40,127,20,0,107,1.0,0.15748031496062992,0.15748031496062992,2
clab-nebula-serf85,40,119,8,0,111,1.0,0.06722689075630252,0.06722689075630252,2
clab-nebula-serf90,40,122,24,0,98,1.0,0.19672131147540983,0.19672131147540983,2
clab-nebula-serf95,40,124,23,0,101,1.0,0.18548387096774194,0.18548387096774194,2
clab-nebula-serf100,40,137,6,0,131,1.0,0.043795620437956206,0.043795620437956206,2
clab-nebula-serf105,40,145,2,0,143,1.0,0.013793103448275862,0.013793103448275862,2
clab-nebula-serf110,40,107,0,0,107,0,0.0,0.0,2
clab-nebula-serf115,40,3,0,0,3,0,0.0,0.0,2
clab-nebula-serf120,40,3,2,0,1,1.0,0.6666666666666666,0.6666666666666666,2
clab-nebula-serf125,40,137,33,0,104,1.0,0.24087591240875914,0.24087591240875914,2
clab-nebula-serf130,40,53,0,0,53,0,0.0,0.0,2
clab-nebula-serf135,40,54,0,0,54,0,0.0,0.0,2
clab-nebula-serf140,40,52,0,0,52,0,0.0,0.0,2
clab-nebula-serf145,40,56,0,0,56,0,0.0,0.0,2
